miRNA	contrast	estimate	SE	df	z.ratio	p.value	padj
hsa-let-7b-5p	A - B	-0.19809784839129	0.6087797768298727	Inf	-0.32540149316860384	0.9433055424238956	0.99996069020055
hsa-let-7b-5p	A - C	0.9115937591021308	0.6850981850042703	Inf	1.3306030858868043	0.37811414689193	0.952202338073415
hsa-let-7b-5p	B - C	1.1096916074934209	0.7457862038256958	Inf	1.4879486933399704	0.2966846773581089	0.696564025101647
hsa-miR-103a-3p	A - B	-0.04822172228004939	0.6538585050509172	Inf	-0.07374947623613808	0.9970058561543257	0.99996069020055
hsa-miR-103a-3p	A - C	0.42311539271781745	0.6804801270139579	Inf	0.6217894923316968	0.8081701592367909	0.9746203112355434
hsa-miR-103a-3p	B - C	0.47133711499786685	0.7537150239609524	Inf	0.6253518903217263	0.80619622989754125	0.9993328485310491
hsa-miR-103b	A - B	-0.08829224760807698	0.6516239656382494	Inf	-0.1354957034485325	0.9899295482340078	0.99996069020055
hsa-miR-103b	A - C	0.40922216382592047	0.6798876144561193	Inf	0.6018967769449374	0.8190721941322503	0.9746203112355434
hsa-miR-103b	B - C	0.49751441143399744	0.7516318321129973	Inf	0.6619123754183991	0.7855821978760167	0.9993328485310491
hsa-miR-106a-5p	A - B	-0.12418598424018736	0.6835224205842582	Inf	-0.18168531199611013	0.9819667299233791	0.99996069020055
hsa-miR-106a-5p	A - C	-0.21333595086001383	0.6798683628982244	Inf	-0.3137900842312764	0.9471717069737512	0.9746203112355434
hsa-miR-106a-5p	B - C	-0.08914996661982648	0.7567600428781748	Inf	-0.117804801480749	0.9923780929807325	0.9993328485310491
hsa-miR-107	A - B	-0.08367522180118878	0.6483275429272766	Inf	-0.12906319145934342	0.9908587063449784	0.99996069020055
hsa-miR-107	A - C	0.42431928302968286	0.6780637682490209	Inf	0.625780793634516	0.80595814246828	0.9746203112355434
hsa-miR-107	B - C	0.5079945048308716	0.749346446373371	Inf	0.6779167463720208	0.7763668271665719	0.9993328485310491
hsa-miR-125a-5p	A - B	0.45765323478211273	0.66817439690102165	Inf	0.6849308158239802	0.7722938912864263	0.99996069020055
