Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
S155	3.4	28230262	16045388	28230262	2851256462	23190963	1696615226	40.495874411454466
S171	3.4	22755100	13640750	22755100	2298265100	24072836	1387196960	39.64156006197893
S209	3.4	21959576	12672335	21959576	2217917176	32614915	1323423762	40.330334409205186
S245	3.4	36531134	20427822	36531134	3689644534	68594972	2440467264	33.856304001343666
S310	3.4	26612040	15966224	26612040	2687816040	20025273	1640356066	38.97067204048682
S328	3.4	24770446	13185336	24770446	2501815046	19953973	1574408727	37.06933973727489
S332	3.4	36613342	19161988	36613342	3697947542	37150022	2358389719	36.2243598046151
S349	3.4	24972212	14069118	24972212	2522193412	26404214	1521911813	39.659194819909395
S365	3.4	24060688	13984169	24060688	2430129488	27843817	1442839557	40.62705036399279
S385	3.4	23629808	13349659	23629808	2386610608	39354207	1394215515	41.581776669954365
S451	3.4	22748822	12598949	22748822	2297631022	22710527	1406480659	38.78561677080281
S453	3.4	26299360	15045780	26299360	2656235360	25987324	1540961793	41.98700099376736
S531	3.4	29208028	15818299	29208028	2950010828	27459415	1796041789	39.11745096143762
S71	3.4	25704536	14638291	25704536	2596158136	38898472	1544175702	40.52073790931817
S726	3.4	26413600	15280564	26413600	2667773600	25108022	1586681803	40.52412082494556
