Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	mirtop_mqc-generalstats-mirtop-isomiR_perc	mirtop_mqc-generalstats-mirtop-isomiR_sum	mirtop_mqc-generalstats-mirtop-read_count
S155	40.495874411454466	98.46340224933101	54.0	23.2135906892244	36.36363636363637	2276588.0												
S155_mature							2280010	74416	0.001650017	0.0	74416.0	3.2638453340116933	0.0	0.0	2280010.0			
S155_mature_hairpin							2207345	18390	0.03059929	0.0	18390.0	0.8331275808720432	0.0	0.0	2207345.0			
S155_mature_hairpin_genome							10312267	9598192										
S155_seqcluster																0.0	0.0	0.0
S171	39.64156006197893	98.78538819189744	54.0	23.78486837030232	45.45454545454545	2281552.0												
S171_mature							2286207	79179	0.003767738	0.0	79179.0	3.463334684916983	0.0	0.0	2286207.0			
S171_mature_hairpin							2208058	13979	0.02974773	0.0	13979.0	0.633090253969778	0.0	0.0	2208058.0			
S171_mature_hairpin_genome							12900414	12560298										
S171_seqcluster																100.0	77202.0	77202.0
S209	40.330334409205186	98.77665655412089	54.0	23.211581759014024	45.45454545454545	1687343.0												
S209_mature							1689884	50616	0.001891782	0.0	50616.0	2.995235175905565	0.0	0.0	1689884.0			
S209_mature_hairpin							1639980	7959	0.05220233	0.0	7959.0	0.48531079647312775	0.0	0.0	1639980.0			
S209_mature_hairpin_genome							8091422	7600261										
S209_seqcluster																100.0	50632.0	50632.0
S245	33.856304001343666	99.61405731840611	55.0	25.973490232175394	45.45454545454545	5001779.0												
S245_mature							5001889	77799	0.006637636	0.0	77799.0	1.5553923727615706	0.0	0.0	5001889.0			
S245_mature_hairpin							4940939	112599	0.02677985	0.0	112599.0	2.2788988085058324	0.0	0.0	4940939.0			
S245_mature_hairpin_genome							30367493	29840078										
S245_seqcluster																100.0	123633.0	123633.0
S310	38.97067204048682	99.07027314014567	53.0	24.10843094457528	45.45454545454545	3307423.0												
S310_mature							3310972	69177	0.003549467	0.0	69177.0	2.0893260347716622	0.0	0.0	3310972.0			
S310_mature_hairpin							3243200	13978	0.03128539	0.0	13978.0	0.4309940799210656	0.0	0.0	3243200.0			
S310_mature_hairpin_genome							16175941	15396005										
S310_seqcluster																100.0	69541.0	69541.0
S328	37.06933973727489	99.274127865901	54.0	23.71538612364911	36.36363636363637	2519452.0												
S328_mature							2520149	16148	0.01126741	0.0	16148.0	0.640755764837714	0.0	0.0	2520149.0			
S328_mature_hairpin							2504183	8858	0.04522429	0.0	8858.0	0.353728142072684	0.0	0.0	2504183.0			
S328_mature_hairpin_genome							9496977	8258274										
S328_seqcluster																100.0	13504.0	13504.0
S332	36.2243598046151	99.51961732379094	54.0	24.34255777065069	36.36363636363637	4024708.0												
S332_mature							4024710	23894	0.01215046	0.0	23894.0	0.593682526194434	0.0	0.0	4024710.0			
S332_mature_hairpin							4003036	11436	0.05442825	0.0	11436.0	0.2856831664766442	0.0	0.0	4003036.0			
S332_mature_hairpin_genome							15684102	13672920										
S332_seqcluster																100.0	25543.0	25543.0
S349	39.659194819909395	99.14171087514434	54.0	23.651904066830394	36.36363636363637	2479351.0												
S349_mature							2479945	26062	0.0039566	0.0	26062.0	1.050910403254911	0.0	0.0	2479945.0			
S349_mature_hairpin							2455471	38957	0.02200638	0.0	38957.0	1.5865387943901597	0.0	0.0	2455471.0			
S349_mature_hairpin_genome							9644815	8632726										
S349_seqcluster																100.0	38187.0	38187.0
S365	40.62705036399279	98.84211525593263	54.0	23.11012686071254	45.45454545454545	2159455.0												
S365_mature							2161587	39821	0.002389943	0.0	39821.0	1.8422113012337693	0.0	0.0	2161587.0			
S365_mature_hairpin							2122824	11240	0.03489272	0.0	11240.0	0.5294833674388456	0.0	0.0	2122824.0			
S365_mature_hairpin_genome							9776683	9042532										
S365_seqcluster																100.0	39191.0	39191.0
S385	41.581776669954365	98.52662427981373	56.0	23.365870052774838	36.36363636363637	1652871.0												
S385_mature							1652927	1919	0.02044303	0.0	1919.0	0.11609708111731491	0.0	0.0	1652927.0			
S385_mature_hairpin							1651082	1714	0.08662187	0.0	1714.0	0.10381071321715094	0.0	0.0	1651082.0			
S385_mature_hairpin_genome							5602320	4667841										
S385_seqcluster																100.0	1985.0	1985.0
S451	38.78561677080281	99.20696509345623	54.0	23.25466523877024	36.36363636363637	2244794.0												
S451_mature							2245312	14908	0.01218555	0.0	14908.0	0.6639611777784111	0.0	0.0	2245312.0			
