Sample	iso_3p_sum	iso_5p_sum	iso_add3p_sum	iso_snv_sum	iso_snv_central_sum	iso_snv_central_offset_sum	iso_snv_central_supp_sum	iso_snv_seed_sum	isomiR_sum	ref_miRNA_mean	iso_3p_count	iso_5p_count	iso_add3p_count	iso_snv_count	iso_snv_central_count	iso_snv_central_offset_count	iso_snv_central_supp_count	iso_snv_seed_count	isomiR_count	iso_3p_mean	iso_5p_mean	iso_add3p_mean	iso_snv_mean	iso_snv_central_mean	iso_snv_central_offset_mean	iso_snv_central_supp_mean	iso_snv_seed_mean	isomiR_mean	read_count	isomiR_perc
S155_seqcluster	71779.0	79789.0	1209.0	787.0	201.0	177.0	189.0	607.0	0.0	0.0	483.0	590.0	79.0	65.0	64.0	19.0	54.0	128.0	595.0	148.61076604554864	135.23559322033898	15.30379746835443	12.107692307692307	3.140625	9.31578947368421	3.5	4.7421875	134.43025210084033	0.0	0.0
S171_seqcluster	65542.0	77056.0	2339.0	929.0	202.0	212.0	225.0	1658.0	77202.0		606.0	775.0	147.0	68.0	60.0	17.0	68.0	142.0	785.0	108.15511551155116	99.42709677419354	15.91156462585034	13.661764705882353	3.3666666666666667	12.470588235294118	3.3088235294117645	11.67605633802817	98.34649681528663	77202.0	100.0
S209_seqcluster	43349.0	50492.0	1100.0	798.0	202.0	190.0	158.0	503.0	50632.0		323.0	401.0	59.0	36.0	45.0	8.0	39.0	86.0	405.0	134.20743034055727	125.91521197007481	18.64406779661017	22.166666666666668	4.488888888888889	23.75	4.051282051282051	5.848837209302325	125.01728395061728	50632.0	100.0
S245_seqcluster	113816.0	123632.0	3624.0	7476.0	135.0	32.0	2406.0	4112.0	123633.0		429.0	467.0	69.0	53.0	92.0	24.0	84.0	146.0	468.0	265.3053613053613	264.73661670235543	52.52173913043478	141.0566037735849	1.4673913043478262	1.3333333333333333	28.642857142857142	28.164383561643834	264.1730769230769	123633.0	100.0
S310_seqcluster	60704.0	69541.0	3257.0	742.0	118.0	64.0	55.0	697.0	69541.0		435.0	537.0	82.0	57.0	54.0	18.0	38.0	120.0	537.0	139.5494252873563	129.49906890130353	39.71951219512195	13.017543859649123	2.185185185185185	3.5555555555555554	1.4473684210526316	5.808333333333334	129.49906890130353	69541.0	100.0
S328_seqcluster	12329.0	12150.0	869.0	1370.0	1382.0	7.0	13.0	344.0	13504.0		80.0	90.0	15.0	12.0	18.0	5.0	11.0	24.0	91.0	154.1125	135.0	57.93333333333333	114.16666666666667	76.77777777777777	1.4	1.1818181818181819	14.333333333333334	148.3956043956044	13504.0	100.0
S332_seqcluster	21747.0	25543.0	20.0	23.0	25.0	13.0	20.0	1685.0	25543.0		86.0	97.0	7.0	9.0	18.0	8.0	12.0	38.0	97.0	252.87209302325581	263.3298969072165	2.857142857142857	2.5555555555555554	1.3888888888888888	1.625	1.6666666666666667	44.3421052631579	263.3298969072165	25543.0	100.0
S349_seqcluster	35664.0	37918.0	1404.0	1077.0	684.0	8.0	34.0	324.0	38187.0		188.0	214.0	34.0	25.0	32.0	7.0	26.0	59.0	215.0	189.70212765957447	177.18691588785046	41.294117647058826	43.08	21.375	1.1428571428571428	1.3076923076923077	5.491525423728813	177.6139534883721	38187.0	100.0
S365_seqcluster	33649.0	39070.0	523.0	490.0	108.0	88.0	381.0	778.0	39191.0		278.0	338.0	29.0	29.0	38.0	11.0	31.0	83.0	341.0	121.03956834532374	115.59171597633136	18.03448275862069	16.896551724137932	2.8421052631578947	8.0	12.290322580645162	9.373493975903614	114.92961876832844	39191.0	100.0
S385_seqcluster	1845.0	1985.0	81.0		183.0		130.0	166.0	1985.0		29.0	31.0	3.0		7.0		6.0	6.0	31.0	63.62068965517241	64.03225806451613	27.0		26.142857142857142		21.666666666666668	27.666666666666668	64.03225806451613	1985.0	100.0
S451_seqcluster	12170.0	14832.0	498.0	1012.0	16.0	3.0	515.0	31.0	15336.0		76.0	97.0	14.0	17.0	14.0	3.0	11.0	27.0	98.0	160.1315789473684	152.90721649484536	35.57142857142857	59.529411764705884	1.1428571428571428	1.0	46.81818181818182	1.1481481481481481	156.48979591836735	15336.0	100.0
S453_seqcluster	3607.0	4128.0	289.0	323.0	105.0	3.0	174.0	660.0	4348.0		60.0	78.0	11.0	14.0	10.0	3.0	5.0	26.0	83.0	60.11666666666667	52.92307692307692	26.272727272727273	23.071428571428573	10.5	1.0	34.8	25.384615384615383	52.3855421686747	4348.0	100.0
S531_seqcluster	6344.0	7563.0	3.0	5.0	15.0	1.0	9.0	17.0	7563.0		39.0	51.0	3.0	5.0	15.0	1.0	9.0	15.0	51.0	162.66666666666666	148.2941176470588	1.0	1.0	1.0	1.0	1.0	1.1333333333333333	148.2941176470588	7563.0	100.0
S71_seqcluster	24089.0	26494.0	950.0	605.0	120.0	36.0	16.0	706.0	26654.0		150.0	193.0	22.0	25.0	30.0	8.0	15.0	54.0	195.0	160.59333333333333	137.27461139896374	43.18181818181818	24.2	4.0	4.5	1.0666666666666667	13.074074074074074	136.6871794871795	26654.0	100.0
S726_seqcluster	16654.0	19290.0	563.0	555.0	260.0	4.0	97.0	455.0	19426.0		151.0	182.0	23.0	29.0	24.0	4.0	20.0	35.0	184.0	110.29139072847683	105.98901098901099	24.47826086956522	19.137931034482758	10.833333333333334	1.0	4.85	13.0	105.57608695652173	19426.0	100.0
