Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
S155	70548	16347	11386	7945	15634	37753	183847	206158	298033	389145	454780	470058	414030	389318	359662	341964	341710	297464	289501	278510	409148	1422016	3419450	1072164	488337	205386	176062	177226	127904	125263	180213	235695	466411	93873	84102	57851	55589	54519	33685	30340	22941	22075	17625	13350	14479	13257	13201	469871	1204160	2475659	10174617
S171	53632	11464	9314	3035	4614	10082	108265	95154	145659	161848	213511	227982	207092	201175	179439	175787	160795	139982	164951	153562	241239	1363852	3606590	992950	438323	115096	80296	76939	57606	73997	87960	211620	1136213	86486	76179	44905	42204	41511	24575	19765	15005	11084	11238	8365	9342	8464	8814	210256	633952	2127302	8465629
S209	58227	14976	8118	3829	6059	13564	85649	108967	175906	231950	283916	310794	287784	262485	247477	236703	245635	206513	212314	194677	354435	1306039	3082107	884597	368973	136639	125363	124823	89363	83930	92173	142664	467429	86500	82272	42496	38903	35678	21583	18974	14346	11095	8977	8077	8479	7090	8086	9512	691162	1995184	8417084
S245	41575	30900	21720	30320	76987	36714	71108	87832	139702	133069	202366	256155	209723	273285	248000	307976	313968	227145	342400	217911	345770	1616548	3132257	1311459	401833	166367	161994	139509	123041	115313	151420	475093	822512	521862	168536	165859	527355	735346	108791	50863	86399	44085	56271	24616	26866	53541	101407	310300	1810998	3753422	15752645
S310	23168	4572	2127	1737	2818	11916	83742	67043	108518	145685	197549	253529	207182	209307	208116	219071	217038	200832	212615	208274	330110	1580615	3748581	1137131	434707	175041	135023	206502	137683	120740	183345	482125	1011184	131744	94487	67024	71786	85933	69623	44857	38783	27480	25792	21300	26826	24212	23742	27871	1035890	1894894	10632170
S328	20857	8039	11682	4951	24659	66819	61264	70979	123426	190799	270572	480248	391115	442364	396119	459656	483031	425954	421987	413809	441675	797274	1658345	585196	346671	210095	207458	231948	203824	175382	205967	188954	217092	137590	92238	72351	90663	107120	49479	48765	38473	35020	24609	17335	22470	21406	20270	29141	1713210	3095099	8916996
S332	25191	16157	50720	22897	119209	261229	67677	47313	197033	295960	354838	496451	598823	529766	521555	535691	715501	634052	550624	483827	572863	1158336	1885176	1002206	802309	335967	307350	362815	303299	196891	264853	243167	373542	281365	154417	139524	133140	154985	101288	62349	82152	74003	56302	62448	75073	32338	568599	666099	1895787	3607300	14132885
S349	16912	8784	9370	4531	8185	30944	62081	88700	148381	222323	323604	399930	384218	391845	400926	440686	424819	378583	352371	340532	426781	1357360	2190949	876137	335913	205855	191435	247986	166249	172835	222958	209700	228192	122533	99628	79730	85879	83791	53510	40379	39175	31631	29897	20901	27804	16173	28492	27050	716420	2378216	9820928
S365	88857	20158	11133	4955	7806	19175	103331	138135	220218	308912	412427	470975	403040	379485	364981	350366	351974	302844	299510	297132	386758	1173599	2542878	713119	349475	187807	175309	186966	129328	121010	157395	184755	516833	73730	68752	51553	42834	41724	32208	30990	23021	16509	18040	13163	16689	14128	11159	17793	636693	2402432	9168624
S385	64661	16245	4905	2769	4847	15917	60124	143835	286127	495450	667812	687406	578906	505243	488767	479346	472981	402122	399782	374107	409192	1128885	1761061	291400	205632	179684	170728	136347	114825	126580	164711	100195	102663	76630	85216	61687	47702	40064	33547	29443	22471	17011	18607	21252	22562	15646	14871	17327	628076	1920041	9514400
S451	19554	7840	3771	2510	14202	22130	55853	83726	126997	206988	294812	419373	410556	417322	396231	450609	476349	428734	433810	444887	463428	791234	1494904	640071	325417	239379	212318	221246	193725	159952	208809	153133	125440	113369	93438	73314	69608	59719	41986	36082	32605	26834	21138	37854	20151	14830	14535	23772	915346	2308527	8900404
S453	143520	50147	63492	16947	20081	33863	89641	170786	304941	503742	746073	854912	802711	747637	689321	688770	647495	569017	506166	468317	469580	726849	980612	326624	244617	191501	185699	205590	162923	167396	209787	130489	219716	82385	81586	62151	47955	47091	39086	29011	23636	18867	16570	14659	17137	14870	16937	23580	836350	2757363	9831164
S531	24798	13111	6359	2947	23104	66889	76219	133101	221924	347030	522403	632554	624197	616788	629060	653045	665090	579991	549662	558775	627617	1177785	1861296	590160	306237	242617	182813	242301	175844	149175	170910	153557	136228	99775	103633	75433	43914	44170	45239	28898	15410	35889	25363	26804	20666	22996	13454	24399	1158136	3660667	10799595
S71	18470	7010	8466	2695	5790	21706	70099	130718	230415	417539	571579	628561	576276	484985	444474	482734	571318	359981	378161	341010	484035	1240559	2056611	750952	290707	160488	157452	154992	139714	119751	182147	183158	172893	112528	110245	65860	67884	62720	40843	30695	24220	17017	14496	16553	15988	8767	8926	26278	1218676	2443588	9573806
S726	65279	17392	12595	4813	6815	17176	70794	134006	245422	410314	541726	555864	485949	454486	426982	439611	450781	392261	391383	387950	470339	1232809	2146671	606737	333059	228020	225890	200963	158197	171726	210852	177399	340600	150321	166683	92359	86722	72923	58009	54058	36987	31069	29060	33785	26417	23262	23874	23122	962825	3201039	9326224
