Sample	filename	reads_total	adapter_removed_length_ok	adapter_not_detected	length_shorter_than_18	low_complexity	low_phred	reads_mirna	reads_rrna	reads_trna	reads_artifact	reads_unknown
S155	S155.merged.fastq.gz	28230262	9537997	14343772	4254096	60596	33801	5597208	159616	128699	126805	17869441
S171	S171.merged.fastq.gz	22755100	9166244	11452618	2077782	32307	26149	6087834	120097	158367	90490	14162074
S209	S209.merged.fastq.gz	21959576	8020104	11122448	2755611	37041	24372	5178051	86197	91525	97078	13689701
S245	S245.merged.fastq.gz	36531134	11976462	20249479	2628031	1646473	30689	6090070	1501341	1413125	1717796	21503609
S310	S310.merged.fastq.gz	26612040	10750915	13659576	2142904	27848	30797	6304135	137191	126633	77921	17764611
S328	S328.merged.fastq.gz	24770446	6994348	12802071	3909656	1034230	30141	1950023	82356	69822	1097778	16596440
S332	S332.merged.fastq.gz	36613342	10078334	19267643	5426492	1812681	28192	2326324	123806	203719	1924079	24768049
S349	S349.merged.fastq.gz	24972212	8184170	12856058	3709387	194764	27833	3678312	166285	102864	241651	16851116
S365	S365.merged.fastq.gz	24060688	7814581	12255539	3916715	47258	26595	3766138	61870	58542	116728	16066842
S385	S385.merged.fastq.gz	23629808	6093602	12132048	5346713	34259	23186	632307	37878	9727	115095	17430643
S451	S451.merged.fastq.gz	22748822	6669872	11745786	3815861	490372	26931	1699623	48210	51540	549970	16066315
S453	S453.merged.fastq.gz	26299360	5638639	13490112	7072373	71709	26527	563981	106038	20381	134311	18304040
S531	S531.merged.fastq.gz	29208028	7635771	14918931	5800028	821269	32029	1649423	81461	47051	890935	19885832
S71	S71.merged.fastq.gz	25704536	7352959	13126186	4998806	198752	27833	3114851	70703	76745	256315	16960531
S726	S726.merged.fastq.gz	26413600	8053841	13584104	4701144	46033	28478	2011665	65434	31782	122647	19406417
