Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
S155_mature	2280010	0	0	0	0	0	0	0	74416	0	3.26	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2280010
S155_mature_hairpin	2207345	0	0	0	0	0	0	0	18390	0	0.83	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2207345
S155_mature_hairpin_genome	10312267	0	0	0	0	0	0	0	9598192	0	93.08	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	10312267
S171_mature	2286207	0	0	0	0	0	0	0	79179	0	3.46	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2286207
S171_mature_hairpin	2208058	0	0	0	0	0	0	0	13979	0	0.63	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2208058
S171_mature_hairpin_genome	12900414	0	0	0	0	0	0	0	12560298	0	97.36	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	12900414
S209_mature	1689884	0	0	0	0	0	0	0	50616	0	3.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1689884
S209_mature_hairpin	1639980	0	0	0	0	0	0	0	7959	0	0.49	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1639980
S209_mature_hairpin_genome	8091422	0	0	0	0	0	0	0	7600261	0	93.93	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	8091422
S245_mature	5001889	0	0	0	0	0	0	0	77799	0	1.56	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	5001889
S245_mature_hairpin	4940939	0	0	0	0	0	0	0	112599	0	2.28	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	4940939
S245_mature_hairpin_genome	30367493	0	0	0	0	0	0	0	29840078	0	98.26	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	30367493
S310_mature	3310972	0	0	0	0	0	0	0	69177	0	2.09	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	3310972
S310_mature_hairpin	3243200	0	0	0	0	0	0	0	13978	0	0.43	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	3243200
S310_mature_hairpin_genome	16175941	0	0	0	0	0	0	0	15396005	0	95.18	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	16175941
S328_mature	2520149	0	0	0	0	0	0	0	16148	0	0.64	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2520149
S328_mature_hairpin	2504183	0	0	0	0	0	0	0	8858	0	0.35	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2504183
