Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
S155_mature	2280010.0	0.0	2280010.0	1.0	2280010.0	0.0	74416.0	0.0	2205594.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52906627.0	52906627.0	0.0	1282411.0	1282411.0	0.0	0.0	2116.0	0.001650017	23.0	23.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2638453340116933	0.0	96.73615466598831	0.0	0.0	0.0	0.0	0.0
S155_mature_hairpin	2207345.0	0.0	2207345.0	1.0	2207345.0	0.0	18390.0	0.0	2188955.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51656700.0	51656700.0	0.0	370989.0	370989.0	0.0	0.0	11352.0	0.03059929	23.0	23.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8331275808720432	0.0	99.16687241912796	0.0	0.0	0.0	0.0	0.0
S171_mature	2286207.0	0.0	2286207.0	1.0	2286207.0	0.0	79179.0	0.0	2207028.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54346367.0	54346367.0	0.0	1367664.0	1367664.0	0.0	0.0	5153.0	0.003767738	23.0	24.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.463334684916983	0.0	96.53666531508301	0.0	0.0	0.0	0.0	0.0
S171_mature_hairpin	2208058.0	0.0	2208058.0	1.0	2208058.0	0.0	13979.0	0.0	2194079.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52998336.0	52998336.0	0.0	287585.0	287585.0	0.0	0.0	8555.0	0.02974773	24.0	24.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.633090253969778	0.0	99.36690974603022	0.0	0.0	0.0	0.0	0.0
S209_mature	1689884.0	0.0	1689884.0	1.0	1689884.0	0.0	50616.0	0.0	1639268.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39209435.0	39209435.0	0.0	872722.0	872722.0	0.0	0.0	1651.0	0.001891782	23.0	23.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.995235175905565	0.0	97.00476482409444	0.0	0.0	0.0	0.0	0.0
S209_mature_hairpin	1639980.0	0.0	1639980.0	1.0	1639980.0	0.0	7959.0	0.0	1632021.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38350077.0	38350077.0	0.0	156085.0	156085.0	0.0	0.0	8148.0	0.05220233	23.0	23.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48531079647312775	0.0	99.51468920352687	0.0	0.0	0.0	0.0	0.0
S245_mature	5001889.0	0.0	5001889.0	1.0	5001889.0	0.0	77799.0	0.0	4924090.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129915528.0	129915528.0	0.0	1342496.0	1342496.0	0.0	0.0	8911.0	0.006637636	25.0	26.0	0.0	40.0	40.0	0.0	36.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5553923727615706	0.0	98.44460762723844	0.0	0.0	0.0	0.0	0.0
S245_mature_hairpin	4940939.0	0.0	4940939.0	1.0	4940939.0	0.0	112599.0	0.0	4828340.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128901956.0	128901956.0	0.0	2401246.0	2401246.0	0.0	0.0	64305.0	0.02677985	26.0	26.0	0.0	40.0	40.0	0.0	36.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2788988085058324	0.0	97.72110119149417	0.0	0.0	0.0	0.0	0.0
S310_mature	3310972.0	0.0	3310972.0	1.0	3310972.0	0.0	69177.0	0.0	3241795.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79797891.0	79797891.0	0.0	1192010.0	1192010.0	0.0	0.0	4231.0	0.003549467	24.0	24.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0893260347716622	0.0	97.91067396522834	0.0	0.0	0.0	0.0	0.0
S310_mature_hairpin	3243200.0	0.0	3243200.0	1.0	3243200.0	0.0	13978.0	0.0	3229222.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78634660.0	78634660.0	0.0	289624.0	289624.0	0.0	0.0	9061.0	0.03128539	24.0	24.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4309940799210656	0.0	99.56900592007894	0.0	0.0	0.0	0.0	0.0
S328_mature	2520149.0	0.0	2520149.0	1.0	2520149.0	0.0	16148.0	0.0	2504001.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59761627.0	59761627.0	0.0	276461.0	276461.0	0.0	0.0	3115.0	0.01126741	23.0	24.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.640755764837714	0.0	99.35924423516228	0.0	0.0	0.0	0.0	0.0
S328_mature_hairpin	2504183.0	0.0	2504183.0	1.0	2504183.0	0.0	8858.0	0.0	2495325.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59488424.0	59488424.0	0.0	177272.0	177272.0	0.0	0.0	8017.0	0.04522429	23.0	24.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.353728142072684	0.0	99.64627185792732	0.0	0.0	0.0	0.0	0.0
S332_mature	4024710.0	0.0	4024710.0	1.0	4024710.0	0.0	23894.0	0.0	4000816.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97971723.0	97971723.0	0.0	416939.0	416939.0	0.0	0.0	5066.0	0.01215046	24.0	24.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.593682526194434	0.0	99.40631747380556	0.0	0.0	0.0	0.0	0.0
S332_mature_hairpin	4003036.0	0.0	4003036.0	1.0	4003036.0	0.0	11436.0	0.0	3991600.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97592531.0	97592531.0	0.0	228815.0	228815.0	0.0	0.0	12454.0	0.05442825	24.0	24.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2856831664766442	0.0	99.71431683352336	0.0	0.0	0.0	0.0	0.0
S349_mature	2479945.0	0.0	2479945.0	1.0	2479945.0	0.0	26062.0	0.0	2453883.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58651472.0	58651472.0	0.0	448112.0	448112.0	0.0	0.0	1773.0	0.0039566	23.0	24.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.050910403254911	0.0	98.94908959674508	0.0	0.0	0.0	0.0	0.0
S349_mature_hairpin	2455471.0	0.0	2455471.0	1.0	2455471.0	0.0	38957.0	0.0	2416514.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58233072.0	58233072.0	0.0	832713.0	832713.0	0.0	0.0	18325.0	0.02200638	23.0	24.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5865387943901597	0.0	98.41346120560985	0.0	0.0	0.0	0.0	0.0
S365_mature	2161587.0	0.0	2161587.0	1.0	2161587.0	0.0	39821.0	0.0	2121766.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49941756.0	49941756.0	0.0	686209.0	686209.0	0.0	0.0	1640.0	0.002389943	23.0	23.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8422113012337693	0.0	98.15778869876624	0.0	0.0	0.0	0.0	0.0
S365_mature_hairpin	2122824.0	0.0	2122824.0	1.0	2122824.0	0.0	11240.0	0.0	2111584.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49274861.0	49274861.0	0.0	229876.0	229876.0	0.0	0.0	8021.0	0.03489272	23.0	23.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5294833674388456	0.0	99.47051663256116	0.0	0.0	0.0	0.0	0.0
S385_mature	1652927.0	0.0	1652927.0	1.0	1652927.0	0.0	1919.0	0.0	1651008.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38621721.0	38621721.0	0.0	32774.0	32774.0	0.0	0.0	670.0	0.02044303	23.0	23.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11609708111731491	0.0	99.88390291888268	0.0	0.0	0.0	0.0	0.0
S385_mature_hairpin	1651082.0	0.0	1651082.0	1.0	1651082.0	0.0	1714.0	0.0	1649368.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38590311.0	38590311.0	0.0	31701.0	31701.0	0.0	0.0	2746.0	0.08662187	23.0	23.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10381071321715094	0.0	99.89618928678284	0.0	0.0	0.0	0.0	0.0
S451_mature	2245312.0	0.0	2245312.0	1.0	2245312.0	0.0	14908.0	0.0	2230404.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52210739.0	52210739.0	0.0	254892.0	254892.0	0.0	0.0	3106.0	0.01218555	23.0	23.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6639611777784111	0.0	99.33603882222158	0.0	0.0	0.0	0.0	0.0
S451_mature_hairpin	2231991.0	0.0	2231991.0	1.0	2231991.0	0.0	7452.0	0.0	2224539.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51983563.0	51983563.0	0.0	137969.0	137969.0	0.0	0.0	11994.0	0.08693257	23.0	23.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3338723140012661	0.0	99.66612768599873	0.0	0.0	0.0	0.0	0.0
S453_mature	2043319.0	0.0	2043319.0	1.0	2043319.0	0.0	4404.0	0.0	2038915.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47027126.0	47027126.0	0.0	75846.0	75846.0	0.0	0.0	1976.0	0.02605279	23.0	23.0	0.0	40.0	40.0	0.0	36.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21553169133160313	0.0	99.7844683086684	0.0	0.0	0.0	0.0	0.0
S453_mature_hairpin	2039741.0	0.0	2039741.0	1.0	2039741.0	0.0	4951.0	0.0	2034790.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46967036.0	46967036.0	0.0	92980.0	92980.0	0.0	0.0	7276.0	0.07825339	23.0	23.0	0.0	40.0	40.0	0.0	36.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2427268952283648	0.0	99.75727310477164	0.0	0.0	0.0	0.0	0.0
